organizer,country,phone,email,webSite
Salon Bois,Suisse,+41 (0)26 912 63 55,mailto:info@salonbois.ch,http://www.salonbois.ch/
BernExpo AG,Suisse,+41 31 340 11 11,mailto:info@bernexpo.ch,http://www.bernexpo.ch/
BY Connect SAS,France,+33 (0)9 81 45 10 19,mailto:,http://www.by-connect.com/
BY Connect SAS,France,+33 (0)9 81 45 10 19,mailto:,http://www.by-connect.com/
Spas Organisation,France,+33 (0)1-45-56-09-09,mailto:contact@spas-expo.com,http://www.spas-expo.com/
Easyfairs Switzerland GmbH,Suisse,+41 61 228 10 00,mailto:schweiz@easyfairs.com,http://www.easyfairs.com/fr
SolarPlaza,Pays-Bas,+31 10 2809198,mailto:j.trip@solarplaza.com,http://www.solarplaza.com/
BernExpo AG,Suisse,+41 31 340 11 11,mailto:info@bernexpo.ch,http://www.bernexpo.ch/
BY Connect SAS,France,+33 (0)9 81 45 10 19,mailto:,http://www.by-connect.com/
MCH Foire Suisse (Holding) SA,Suisse,+41 58 200 20 20,mailto:info@messe.ch,http://www.messe.ch/
BernExpo AG,Suisse,+41 31 340 11 11,mailto:info@bernexpo.ch,http://www.bernexpo.ch/
Easyfairs Switzerland GmbH,Suisse,+41 61 228 10 00,mailto:schweiz@easyfairs.com,http://www.easyfairs.com/fr
Reed Messen (Schweiz) AG,Suisse,+41 (0)1 806 33 33,mailto:info@reed.ch,http://www.reed.ch/
BY Connect SAS,France,+33 (0)9 81 45 10 19,mailto:,http://www.by-connect.com/
Zt Fachmessen AG,Suisse,+41 (056) 225 23 83,mailto:info@fachmessen.ch,http://www.fachmessen.ch/
BernExpo AG,Suisse,+41 31 340 11 11,mailto:info@bernexpo.ch,http://www.bernexpo.ch/
Olma Messen St. Gallen,Suisse,+41 071 242 01 01,mailto:info@olma-messen.ch,http://www.olma-messen.ch/
Artexis EasyFairs,Belgique,+32 (0)2 740 10 70,mailto:europe@easyfairs.com,http://www.artexiseasyfairs.com/
Palexpo SA,Suisse,+41 (0) 22 761 11 11,mailto:info@palexpo.ch,http://www.palexpo.ch/
Palexpo SA,Suisse,+41 (0) 22 761 11 11,mailto:info@palexpo.ch,http://www.palexpo.ch/
EPHJ (Environnement Professionnel Horlogerie Joaillerie),Suisse,+41 (0) 22 761 14 16,mailto:contact.ephj@ephj.ch,http://www.ephj.ch/
MCH Foire Suisse (Holding) SA,Suisse,+41 58 200 20 20,mailto:info@messe.ch,http://www.messe.ch/
Easyfairs Switzerland GmbH,Suisse,+41 61 228 10 00,mailto:schweiz@easyfairs.com,http://www.easyfairs.com/fr
UKIP Media & Events Ltd.,Royaume-Uni,+44 1306 743744,mailto:a.obrien@ukintpress.com,http://www.ukipme.com/
Informa UK,Royaume-Uni,+44 (0)20 337 77019,mailto:patricia.arescy@informa.com,http://www.informaexhibitions.com/
EBAA (European Business Aviation Association),Belgique,+32 2-766-0070,mailto:info@ebaa.org,http://www.ebaa.org/
VOLTA Production Office,Suisse,,mailto:info@voltashow.com,http://www.voltashow.com/
Palexpo SA,Suisse,+41 (0) 22 761 11 11,mailto:info@palexpo.ch,http://www.palexpo.ch/
Mack Brooks Group,Royaume-Uni,+44 (0)1727 814400,mailto:info@mackbrooks.co.uk,http://www.mackbrooks.com/
MCH Foire Suisse (Holding) SA,Suisse,+41 58 200 20 20,mailto:info@messe.ch,http://www.messe.ch/
Wigra Gruppe,Suisse,+41 (0)1 487 43 00,mailto:expo@wigra.com,http://www.wigra.com/
